ZOOMA QUERY	MAPPED_TERM_LABEL	MAPPED_TERM_URI	MAPPING_TYPE	ICD10_CODE/SELF_REPORTED_TRAIT_FIELD_CODE
Vascular disorders of intestine	vascular disease	"EFO_0004264, MONDO_0005020"	Broad	K55
Gonarthrosis	osteoarthritis || knee	EFO_0004616	Broad	M17
Psoriatic and enteropathic arthropathies	psoriatic arthritis	EFO_0003778	? Broad	M07
Pain associated with micturition	dysuria	EFO_0003901	? Broad	R30
Other mood	mood disorder	EFO_0004247	? Broad	F38
Preterm delivery	premature birth	EFO_0003917	? Exact	O60
Injury of nerves at forearm level	carpal tunnel syndrome	EFO_0004143	? Narrow	S54
Injury of nerves at wrist and hand level	carpal tunnel syndrome	EFO_0004143	? Narrow	S64
Gastritis and duodenitis	gastritis	EFO_0000217	Broad	K29
Problems related to physical environment	exposure	EFO_0000487	Broad	Z58
Pre existing hypertension complicating pregnancy childbirth and the puerperium	hypertension	EFO_0000537	Broad	O10
Pre existing hypertensive disorder with superimposed proteinuria	hypertension	EFO_0000537	Broad	O11
Injury of blood vessels at wrist and hand level	injury	EFO_0000546	Broad	S65
Superficial injuries involving multiple body regions	injury	EFO_0000546	Broad	T00
Open wounds involving multiple body regions	injury	EFO_0000546	Broad	T01
Other injuries involving multiple body regions	injury	EFO_0000546	Broad	T06
Effects of air pressure and water pressure	injury	EFO_0000546	Broad	T70
Sequelae of injuries of neck and trunk	injury	EFO_0000546	Broad	T91
Sequelae of injuries involving multiple and unspecified body regions	injury	EFO_0000546	Broad	T94
Sequelae of other effects of external causes	injury	"EFO_0000546, EFO_0008546"	Broad	T98
Other injuries of spine and trunk level unspecified	Injury	EFO_0000546	Broad	T09
Personal history of malignant neoplasm	neoplasm' (covers benign + malignant; otherwise create/import 'malignant neoplasm')	EFO_0000616	Broad	Z85
Seropositive rheumatoid arthritis	rheumatoid arthritis	EFO_0000685	Broad	M05
Hypertrophic disorders of skin	skin disease	EFO_0000701	Broad	L91
Other infestations	parasitic infection	EFO_0001067	Broad	B88
Fibrosis and cirrhosis of liver	cirrhosis of liver	EFO_0001422	Broad	K74
Polyarthrosis	osteoarthritis	EFO_0002506	Broad	M15
Supervision of normal pregnancy	pregnancy'	EFO_0002950	Broad	Z34
Unspecified contracted kidney	kidney disease	EFO_0003086	Broad	N26
Infections of genitourinary tract in pregnancy	urinary tract infection	EFO_0003103	Broad	O23
Sequelae of cerebrovascular disease	cerebrovascular disorder	EFO_0003763	Broad	I69
Other acute ischaemic heart diseases	heart disease	EFO_0003777	Broad	I24
Complications and ill defined descriptions of heart disease	heart disease	EFO_0003777	Broad	I51
Osteoporosis in diseases classified elsewhere	osteoporosis	EFO_0003882	Broad	M82
Mental and behavioural disorders due to use of sedatives or hypnotics	drug dependence	EFO_0003890	Broad	F13
Mental and behavioural disorders due to use of hallucinogens	drug dependence	EFO_0003890	Broad	F16
Mental and behavioural disorders due to use of volatile solvents	drug dependence	EFO_0003890	Broad	F18
Fracture of lumbar spine and pelvis	spinal fracture	EFO_0003902	Broad	S32
Hereditary and idiopathic neuropathy	neuropathy	EFO_0004149	Broad	G60
Osteopathies in diseases classified elsewhere	bone disease	EFO_0004260	Broad	M90
Other extrapyramidal and movement disorders	movement disorder	EFO_0004280	Broad	G25
Other congenital musculoskeletal deformities	bone development disease	EFO_0005541	Broad	Q68
Carrier of infectious disease	infectious disease'	EFO_0005741	Broad	Z22
Premature rupture of membranes	spontaneous preterm birth	EFO_0006917	Broad	O42
Anogenital herpesviral infection	genital herpes	EFO_0007282	Broad	A60
Postinfective and reactive arthropathies in diseases classified elsewhere	reactive arthritis	EFO_0007460	Broad	M03
Early syphilis	syphilis	EFO_0007504	Broad	A51
Sequelae of toxic effects of substances chiefly nonmedicinal as to source	poisoning	EFO_0008546	Broad	T97
Subclinical iodine deficiency hypothyroidism	Iodine Deficiency Hypothyroidism	EFO_0008614	Broad	E02
Disorders of vitreous body and globe in diseases classified elsewhere	vitreous body disease	EFO_0008624	Broad	H45
Polyarteritis nodosa and related conditions	Polyarteritis Nodosa	EFO_0009012	Broad	M30
Sequelae of inflammatory diseases of CNS	central nervous system disease	EFO_0009386	Broad	G09
Respiratory tuberculosis not confimed	pulmonary tuberculosis	EFO_1000049	Broad	A16
Disorders of conjunctiva in diseases classified elsewhere	Conjunctival Disorder	EFO_1000203	Broad	H13
Congenital deformities of hip	developmental dysplasia of the hip	EFO_1000648	Broad	Q65
Neonatal jaundice from other causes	neonatal jaundice	EFO_1000739	Broad	P59
Urethral stricture	bladder neck obstruction	EFO_1000840	Broad	N35
Other specific arthropathies	joint disease	EFO_1000999	Broad	M12
Conductive and sensorineural hearing loss	sensorineural hearing loss	EFO_1001176	Broad	H90
other injuries of shoulder and upper arm	rotator cuff tear	EFO_1001250	Broad	S49
Effects of heat and light	Heat Stroke	EFO_1001340	Broad	T67
Other disorders of middle ear and mastoid	auditory system disease	EFO_1001455	Broad	H74
Atypical virus infections of CNS	central nervous system infection	EFO_1001456	Broad	A81
Female genital prolapse	uterine prolapse	EFO_1001864	Broad	N81
Dentofacial anomalies	abnormality of the mouth	HP_0000153	Broad	K07
Cleft palate with cleft lip	oral cleft	HP_0000202	Broad	Q37
Congenital malformations of nose	Abnormality of the nose	HP_0000366	Broad	Q30
Disorders of refraction and accommodation	Abnormality of refraction	HP_0000539	Broad	H52
Congenital malformations of gallbladder bile ducts and liver	Abnormality of the liver	HP_0001392	Broad	Q44
Obstructed labour due to maternal pelvic abnormality	abnormality of the abdomen morphology	HP_0001438	Broad	O65
Abnormal findings in specimens from respiratory organs and thorax	Abnormality of the respiratory system	HP_0002086	Broad	R84
Congenital malformations of lung	Abnormal lung morphology	HP_0002088	Broad	Q33
Other congenital malformations of peripheral vascular system	Abnormality of the vasculature	HP_0002597	Broad	Q27
Varicose veins of lower extremities	varicose veins	HP_0002619	Broad	I83
Varicose veins of other sites	Varicose veins	HP_0002619	Broad	I86
Acute lymphadenitis	lymphadenitis	HP_0002840	Broad	L04
Other abnormal findings in urine	abnormality of urine homeostasis	HP_0003110	Broad	R82
Unspecified abdominal hernia	hernia of the abdominal wall	HP_0004299	Broad	K46
Unspecified viral hepatitis	hepatitis	HP_0012115	Broad	B19
Other congenital malformations of digestive system	Abnormality of the digestive system	HP_0025031	Broad	Q45
Other congenital malformations of circulatory system	Abnormality of cardiovascular system morphology	HP_0030680	Broad	Q28
Other congenital malformations of skin	Malformation syndrome with skin/mucosae involvement	Orphanet_139027	Broad	Q82
Pneumoconiosis due to other inorganic dusts	pneumoconiosis	Orphanet_182098	Broad	J63
Corns and callosities	hereditary painful callosites	Orphanet_79141	Broad	L84
Disorders of lacrimal system and orbit in diseases classified elsewhere	rare lacrimal system disease	Orphanet_98602	Broad	H06
Alzheimer s disease	Alzheimer's disease	EFO_0000249	Exact	G30
Endocarditis valve unspecified	endocarditis	EFO_0000465	Exact	I38
Family history of other conditions	family history	EFO_0000493	Exact	Z84
Unspecified maternal hypertension	preeclampsia	EFO_0000668	Exact	O16
Stroke not specified as haemorrhage or infarction	stroke	EFO_0000712	Exact	I64
Subarachnoid haemorrhage	subarachnoid hemorrhage	EFO_0000713	Exact	I60
Unspecified human immunodeficiency virus	HIV infection	EFO_0000764	Exact	B24
Other endocrine disorders	endocrine system disease	EFO_0001379	Exact	E34
Other diseases of liver	liver disease	EFO_0001421	Exact	K76
Primary disorders of muscles	muscular disease	EFO_0002970	Exact	G71
Pervasive developmental disorders	pervasive developmental disorder - not otherwise specified	EFO_0003759	Exact	F84
Other cerebrovascular diseases	cerebrovascular disorder	EFO_0003763	Exact	I67
Other diseases of gallbladder	gallbladder disease	EFO_0003832	Exact	K82
Pain	pain	EFO_0003843	Exact	R52
Fracture of spine level unspecified	spinal fracture'	EFO_0003902	Exact	T08
Acute hepatitis B	hepatitis B infection	EFO_0004197	Exact	B16
Abnormalities of heart beat	cardiac arrythmia	EFO_0004269	Exact	R00
Scoliosis	scoliosis	EFO_0004273	Exact	M41
Other congenital malformations of heart	congenital heart malformation	EFO_0005269	Exact	Q24
Disorders of tooth development and eruption	tooth agenesis	EFO_0005410	Exact	K00
Intracerebral haemorrhage	intracerebral hemorrhage	EFO_0005669	Exact	I61
Retinal detachments and breaks	retinal detachment	EFO_0005773	Exact	H33
Tuberculosis of nervous system	central nervous system tuberculosis	EFO_0007199	Exact	A17
Acute hepatitis A	hepatitis A	EFO_0007305	Exact	B15
Hookworm diseases	hookworm infectious disease	EFO_0007314	Exact	B76
Female infertility	female infertility	EFO_0008560	Exact	N97
Sleep disorders	sleep disorder	EFO_0008568	Exact	G47
Thiamine deficiency	Thiamine deficiency	EFO_0008569	Exact	E51
Viral conjunctivitis	viral conjunctivitis	EFO_0008571	Exact	B30
Alcoholic liver disease	alcoholic liver disease	EFO_0008573	Exact	K70
Spinal osteochondrosis	Spinal Osteochondrosis	EFO_0008576	Exact	M42
Diseases of salivary glands	salivary gland disease	EFO_0008581	Exact	K11
Gender identity disorders	gender identity disorder	EFO_0008587	Exact	F64
Status asthmaticus	status asthmaticus	EFO_0008590	Exact	J46
Cystic kidney disease	cystic kidney disease	EFO_0008615	Exact	Q61
Polyp of female genital tract	female genital tract polyp	EFO_0008622	Exact	N84
Persistent mood	dysthymic disorder	EFO_0008623	Exact	F34
Disorders of vitreous body	vitreous body disease	EFO_0008624	Exact	H43
Ovarian dysfunction	ovarian dysfunction	EFO_0009003	Exact	E28
Other coagulation defects	blood coagulation disease	EFO_0009314	Exact	D68
