STUDY,BIOENTITY,PROPERTY_TYPE,PROPERTY_VALUE,SEMANTIC_TAG,ANNOTATOR,ANNOTATION_DATE
,ukbiobank_1,disease,Vascular disorders of intestine,http://www.ebi.ac.uk/efo/EFO_0004264,efo,26/04/2019 00:00
,ukbiobank_1,disease,Vascular disorders of intestine,http://www.ebi.ac.uk/efo/EFO_0009431,efo,26/04/2019 00:00
,ukbiobank_2,disease,Gonarthrosis,http://www.ebi.ac.uk/efo/EFO_0004616,efo,26/04/2019 00:00
,ukbiobank_3,disease,Psoriatic and enteropathic arthropathies,http://www.ebi.ac.uk/efo/EFO_0003778,efo,26/04/2019 00:00
,ukbiobank_4,phenotype,Pain associated with micturition,http://www.ebi.ac.uk/efo/EFO_0003901,efo,26/04/2019 00:00
,ukbiobank_5,disease,Other mood,http://www.ebi.ac.uk/efo/EFO_0004247,efo,26/04/2019 00:00
,ukbiobank_6,phenotype,Preterm delivery,http://www.ebi.ac.uk/efo/EFO_0003917,efo,26/04/2019 00:00
,ukbiobank_7,disease,Injury of nerves at forearm level,http://www.ebi.ac.uk/efo/EFO_0004143,efo,26/04/2019 00:00
,ukbiobank_8,disease,Injury of nerves at wrist and hand level,http://www.ebi.ac.uk/efo/EFO_0004143,efo,26/04/2019 00:00
,ukbiobank_9,disease,Gastritis and duodenitis,http://www.ebi.ac.uk/efo/EFO_0000217,efo,26/04/2019 00:00
,ukbiobank_10,experimental process,Problems related to physical environment,http://www.ebi.ac.uk/efo/EFO_0000487,efo,26/04/2019 00:00
,ukbiobank_11,disease,Pre existing hypertension complicating pregnancy childbirth and the puerperium,http://www.ebi.ac.uk/efo/EFO_0000537,efo,26/04/2019 00:00
,ukbiobank_12,disease,Pre existing hypertensive disorder with superimposed proteinuria,http://www.ebi.ac.uk/efo/EFO_0000537,efo,26/04/2019 00:00
,ukbiobank_13,disease,Injury of blood vessels at wrist and hand level,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_14,disease,Superficial injuries involving multiple body regions,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_15,disease,Open wounds involving multiple body regions,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_16,disease,Other injuries involving multiple body regions,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_17,disease,Effects of air pressure and water pressure,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_18,disease,Sequelae of injuries of neck and trunk,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_19,disease,Sequelae of injuries involving multiple and unspecified body regions,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_20,disease,Sequelae of other effects of external causes,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_20,disease,Sequelae of other effects of external causes,http://www.ebi.ac.uk/efo/EFO_0008546,efo,26/04/2019 00:00
,ukbiobank_21,disease,Other injuries of spine and trunk level unspecified,http://www.ebi.ac.uk/efo/EFO_0000546,efo,26/04/2019 00:00
,ukbiobank_22,disease,Personal history of malignant neoplasm,http://www.ebi.ac.uk/efo/EFO_0000616,efo,26/04/2019 00:00
,ukbiobank_23,disease,Seropositive rheumatoid arthritis,http://www.ebi.ac.uk/efo/EFO_0000685,efo,26/04/2019 00:00
,ukbiobank_24,disease,Hypertrophic disorders of skin,http://www.ebi.ac.uk/efo/EFO_0000701,efo,26/04/2019 00:00
,ukbiobank_25,disease,Other infestations,http://www.ebi.ac.uk/efo/EFO_0001067,efo,26/04/2019 00:00
,ukbiobank_26,disease,Fibrosis and cirrhosis of liver,http://www.ebi.ac.uk/efo/EFO_0001422,efo,26/04/2019 00:00
,ukbiobank_27,disease,Polyarthrosis,http://www.ebi.ac.uk/efo/EFO_0002506,efo,26/04/2019 00:00
,ukbiobank_28,biological process,Supervision of normal pregnancy,http://www.ebi.ac.uk/efo/EFO_0002950,efo,26/04/2019 00:00
,ukbiobank_29,disease,Unspecified contracted kidney,http://www.ebi.ac.uk/efo/EFO_0003086,efo,26/04/2019 00:00
,ukbiobank_30,disease,Infections of genitourinary tract in pregnancy,http://www.ebi.ac.uk/efo/EFO_0003103,efo,26/04/2019 00:00
,ukbiobank_31,disease,Sequelae of cerebrovascular disease,http://www.ebi.ac.uk/efo/EFO_0003763,efo,26/04/2019 00:00
,ukbiobank_32,disease,Other acute ischaemic heart diseases,http://www.ebi.ac.uk/efo/EFO_0003777,efo,26/04/2019 00:00
,ukbiobank_33,disease,Complications and ill defined descriptions of heart disease,http://www.ebi.ac.uk/efo/EFO_0003777,efo,26/04/2019 00:00
,ukbiobank_34,disease,Osteoporosis in diseases classified elsewhere,http://www.ebi.ac.uk/efo/EFO_0003882,efo,26/04/2019 00:00
,ukbiobank_35,disease,Mental and behavioural disorders due to use of sedatives or hypnotics,http://www.ebi.ac.uk/efo/EFO_0003890,efo,26/04/2019 00:00
,ukbiobank_36,disease,Mental and behavioural disorders due to use of hallucinogens,http://www.ebi.ac.uk/efo/EFO_0003890,efo,26/04/2019 00:00
,ukbiobank_37,disease,Mental and behavioural disorders due to use of volatile solvents,http://www.ebi.ac.uk/efo/EFO_0003890,efo,26/04/2019 00:00
,ukbiobank_38,disease,Fracture of lumbar spine and pelvis,http://www.ebi.ac.uk/efo/EFO_0003902,efo,26/04/2019 00:00
,ukbiobank_39,disease,Hereditary and idiopathic neuropathy,http://www.ebi.ac.uk/efo/EFO_0004149,efo,26/04/2019 00:00
,ukbiobank_40,disease,Osteopathies in diseases classified elsewhere,http://www.ebi.ac.uk/efo/EFO_0004260,efo,26/04/2019 00:00
,ukbiobank_41,disease,Other extrapyramidal and movement disorders,http://www.ebi.ac.uk/efo/EFO_0004280,efo,26/04/2019 00:00
,ukbiobank_42,disease,Other congenital musculoskeletal deformities,http://www.ebi.ac.uk/efo/EFO_0005541,efo,26/04/2019 00:00
,ukbiobank_43,disease,Carrier of infectious disease,http://www.ebi.ac.uk/efo/EFO_0005741,efo,26/04/2019 00:00
,ukbiobank_44,phenotype,Premature rupture of membranes,http://www.ebi.ac.uk/efo/EFO_0006917,efo,26/04/2019 00:00
,ukbiobank_45,disease,Anogenital herpesviral infection,http://www.ebi.ac.uk/efo/EFO_0007282,efo,26/04/2019 00:00
,ukbiobank_46,disease,Postinfective and reactive arthropathies in diseases classified elsewhere,http://www.ebi.ac.uk/efo/EFO_0007460,efo,26/04/2019 00:00
,ukbiobank_47,disease,Early syphilis,http://www.ebi.ac.uk/efo/EFO_0007504,efo,26/04/2019 00:00
,ukbiobank_48,disease,Sequelae of toxic effects of substances chiefly nonmedicinal as to source,http://www.ebi.ac.uk/efo/EFO_0008546,efo,26/04/2019 00:00
,ukbiobank_49,disease,Subclinical iodine deficiency hypothyroidism,http://www.ebi.ac.uk/efo/EFO_0008614,efo,26/04/2019 00:00
,ukbiobank_50,disease,Disorders of vitreous body and globe in diseases classified elsewhere,http://www.ebi.ac.uk/efo/EFO_0008624,efo,26/04/2019 00:00
,ukbiobank_51,disease,Polyarteritis nodosa and related conditions,http://www.ebi.ac.uk/efo/EFO_0009012,efo,26/04/2019 00:00
,ukbiobank_52,disease,Sequelae of inflammatory diseases of CNS,http://www.ebi.ac.uk/efo/EFO_0009386,efo,26/04/2019 00:00
,ukbiobank_53,disease,Respiratory tuberculosis not confimed,http://www.ebi.ac.uk/efo/EFO_1000049,efo,26/04/2019 00:00
,ukbiobank_54,disease,Disorders of conjunctiva in diseases classified elsewhere,http://www.ebi.ac.uk/efo/EFO_1000203,efo,26/04/2019 00:00
,ukbiobank_55,disease,Congenital deformities of hip,http://www.ebi.ac.uk/efo/EFO_1000648,efo,26/04/2019 00:00
,ukbiobank_56,disease,Neonatal jaundice from other causes,http://www.ebi.ac.uk/efo/EFO_1000739,efo,26/04/2019 00:00
,ukbiobank_57,disease,Urethral stricture,http://www.ebi.ac.uk/efo/EFO_1000840,efo,26/04/2019 00:00
,ukbiobank_58,disease,Other specific arthropathies,http://www.ebi.ac.uk/efo/EFO_1000999,efo,26/04/2019 00:00
,ukbiobank_59,disease,Conductive and sensorineural hearing loss,http://www.ebi.ac.uk/efo/EFO_1001176,efo,26/04/2019 00:00
,ukbiobank_60,disease,other injuries of shoulder and upper arm,http://www.ebi.ac.uk/efo/EFO_1001250,efo,26/04/2019 00:00
,ukbiobank_61,phenotype,Effects of heat and light,http://www.ebi.ac.uk/efo/EFO_1001340,efo,26/04/2019 00:00
,ukbiobank_62,disease,Other disorders of middle ear and mastoid,http://www.ebi.ac.uk/efo/EFO_1001455,efo,26/04/2019 00:00
,ukbiobank_63,disease,Atypical virus infections of CNS,http://www.ebi.ac.uk/efo/EFO_1001456,efo,26/04/2019 00:00
,ukbiobank_64,disease,Female genital prolapse,http://www.ebi.ac.uk/efo/EFO_1001864,efo,26/04/2019 00:00
,ukbiobank_65,phenotype,Dentofacial anomalies,http://purl.obolibrary.org/obo/HP_0000153,efo,26/04/2019 00:00
,ukbiobank_66,phenotype,Cleft palate with cleft lip,http://purl.obolibrary.org/obo/HP_0000202,efo,26/04/2019 00:00
,ukbiobank_67,phenotype,Congenital malformations of nose,http://purl.obolibrary.org/obo/HP_0000366,efo,26/04/2019 00:00
,ukbiobank_68,phenotype,Disorders of refraction and accommodation,http://purl.obolibrary.org/obo/HP_0000539,efo,26/04/2019 00:00
,ukbiobank_69,phenotype,Congenital malformations of gallbladder bile ducts and liver,http://purl.obolibrary.org/obo/HP_0001392,efo,26/04/2019 00:00
,ukbiobank_70,phenotype,Obstructed labour due to maternal pelvic abnormality,http://purl.obolibrary.org/obo/HP_0001438,efo,26/04/2019 00:00
,ukbiobank_71,phenotype,Abnormal findings in specimens from respiratory organs and thorax,http://purl.obolibrary.org/obo/HP_0002086,efo,26/04/2019 00:00
,ukbiobank_72,phenotype,Congenital malformations of lung,http://purl.obolibrary.org/obo/HP_0002088,efo,26/04/2019 00:00
,ukbiobank_73,phenotype,Other congenital malformations of peripheral vascular system,http://purl.obolibrary.org/obo/HP_0002597,efo,26/04/2019 00:00
,ukbiobank_74,phenotype,Varicose veins of lower extremities,http://purl.obolibrary.org/obo/HP_0002619,efo,26/04/2019 00:00
,ukbiobank_75,phenotype,Varicose veins of other sites,http://purl.obolibrary.org/obo/HP_0002619,efo,26/04/2019 00:00
,ukbiobank_76,phenotype,Acute lymphadenitis,http://purl.obolibrary.org/obo/HP_0002840,efo,26/04/2019 00:00
,ukbiobank_77,phenotype,Other abnormal findings in urine,http://purl.obolibrary.org/obo/HP_0003110,efo,26/04/2019 00:00
,ukbiobank_78,phenotype,Unspecified abdominal hernia,http://purl.obolibrary.org/obo/HP_0004299,efo,26/04/2019 00:00
,ukbiobank_79,phenotype,Unspecified viral hepatitis,http://purl.obolibrary.org/obo/HP_0012115,efo,26/04/2019 00:00
,ukbiobank_80,phenotype,Other congenital malformations of digestive system,http://purl.obolibrary.org/obo/HP_0025031,efo,26/04/2019 00:00
,ukbiobank_81,phenotype,Other congenital malformations of circulatory system,http://purl.obolibrary.org/obo/HP_0030680,efo,26/04/2019 00:00
,ukbiobank_82,disease,Other congenital malformations of skin,http://www.orpha.net/ORDO/Orphanet_139027,efo,26/04/2019 00:00
,ukbiobank_83,disease,Pneumoconiosis due to other inorganic dusts,http://www.orpha.net/ORDO/Orphanet_182098,efo,26/04/2019 00:00
,ukbiobank_84,disease,Corns and callosities,http://www.orpha.net/ORDO/Orphanet_79141,efo,26/04/2019 00:00
,ukbiobank_85,disease,Disorders of lacrimal system and orbit in diseases classified elsewhere,http://www.orpha.net/ORDO/Orphanet_98602,efo,26/04/2019 00:00
,ukbiobank_86,disease,Alzheimer s disease,http://www.ebi.ac.uk/efo/EFO_0000249,efo,26/04/2019 00:00
,ukbiobank_87,disease,Endocarditis valve unspecified,http://www.ebi.ac.uk/efo/EFO_0000465,efo,26/04/2019 00:00
,ukbiobank_88,factor,Family history of other conditions,http://www.ebi.ac.uk/efo/EFO_0000493,efo,26/04/2019 00:00
,ukbiobank_89,disease,Unspecified maternal hypertension,http://www.ebi.ac.uk/efo/EFO_0000668,efo,26/04/2019 00:00
,ukbiobank_90,disease,Stroke not specified as haemorrhage or infarction,http://www.ebi.ac.uk/efo/EFO_0000712,efo,26/04/2019 00:00
,ukbiobank_91,disease,Subarachnoid haemorrhage,http://www.ebi.ac.uk/efo/EFO_0000713,efo,26/04/2019 00:00
,ukbiobank_92,disease,Unspecified human immunodeficiency virus,http://www.ebi.ac.uk/efo/EFO_0000764,efo,26/04/2019 00:00
,ukbiobank_93,disease,Other endocrine disorders,http://www.ebi.ac.uk/efo/EFO_0001379,efo,26/04/2019 00:00
,ukbiobank_94,disease,Other diseases of liver,http://www.ebi.ac.uk/efo/EFO_0001421,efo,26/04/2019 00:00
,ukbiobank_95,disease,Primary disorders of muscles,http://www.ebi.ac.uk/efo/EFO_0002970,efo,26/04/2019 00:00
,ukbiobank_96,disease,Pervasive developmental disorders,http://www.ebi.ac.uk/efo/EFO_0003759,efo,26/04/2019 00:00
,ukbiobank_97,disease,Other cerebrovascular diseases,http://www.ebi.ac.uk/efo/EFO_0003763,efo,26/04/2019 00:00
,ukbiobank_98,disease,Other diseases of gallbladder,http://www.ebi.ac.uk/efo/EFO_0003832,efo,26/04/2019 00:00
,ukbiobank_99,phenotype,Pain,http://www.ebi.ac.uk/efo/EFO_0003843,efo,26/04/2019 00:00
,ukbiobank_100,disease,Fracture of spine level unspecified,http://www.ebi.ac.uk/efo/EFO_0003902,efo,26/04/2019 00:00
,ukbiobank_101,disease,Acute hepatitis B,http://www.ebi.ac.uk/efo/EFO_0004197,efo,26/04/2019 00:00
,ukbiobank_102,disease,Abnormalities of heart beat,http://www.ebi.ac.uk/efo/EFO_0004269,efo,26/04/2019 00:00
,ukbiobank_103,disease,Scoliosis,http://www.ebi.ac.uk/efo/EFO_0004273,efo,26/04/2019 00:00
,ukbiobank_104,disease,Other congenital malformations of heart,http://www.ebi.ac.uk/efo/EFO_0005269,efo,26/04/2019 00:00
,ukbiobank_105,disease,Disorders of tooth development and eruption,http://www.ebi.ac.uk/efo/EFO_0005410,efo,26/04/2019 00:00
,ukbiobank_106,disease,Intracerebral haemorrhage,http://www.ebi.ac.uk/efo/EFO_0005669,efo,26/04/2019 00:00
,ukbiobank_107,disease,Retinal detachments and breaks,http://www.ebi.ac.uk/efo/EFO_0005773,efo,26/04/2019 00:00
,ukbiobank_108,disease,Tuberculosis of nervous system,http://www.ebi.ac.uk/efo/EFO_0007199,efo,26/04/2019 00:00
,ukbiobank_109,disease,Acute hepatitis A,http://www.ebi.ac.uk/efo/EFO_0007305,efo,26/04/2019 00:00
,ukbiobank_110,disease,Hookworm diseases,http://www.ebi.ac.uk/efo/EFO_0007314,efo,26/04/2019 00:00
,ukbiobank_111,disease,Female infertility,http://www.ebi.ac.uk/efo/EFO_0008560,efo,26/04/2019 00:00
,ukbiobank_112,disease,Sleep disorders,http://www.ebi.ac.uk/efo/EFO_0008568,efo,26/04/2019 00:00
,ukbiobank_113,phenotype,Thiamine deficiency,http://www.ebi.ac.uk/efo/EFO_0008569,efo,26/04/2019 00:00
,ukbiobank_114,disease,Viral conjunctivitis,http://www.ebi.ac.uk/efo/EFO_0008571,efo,26/04/2019 00:00
,ukbiobank_115,disease,Alcoholic liver disease,http://www.ebi.ac.uk/efo/EFO_0008573,efo,26/04/2019 00:00
,ukbiobank_116,disease,Spinal osteochondrosis,http://www.ebi.ac.uk/efo/EFO_0008576,efo,26/04/2019 00:00
,ukbiobank_117,disease,Diseases of salivary glands,http://www.ebi.ac.uk/efo/EFO_0008581,efo,26/04/2019 00:00
,ukbiobank_118,disease,Gender identity disorders,http://www.ebi.ac.uk/efo/EFO_0008587,efo,26/04/2019 00:00
